instrument_id,instrument_type,balance_account,amount,currency,start_date,maturity_date,interest_rate,counterparty_id,counterparty_type,as_of_date,asset_category,is_monetary,liquidity_haircut,data_source,version
OTHER_ASSET_00000000,other_asset,60201,1836272.492333616,RUB,2018-10-03,,,,,2024-12-31,fixed_assets,False,0.6860843631614293,mock_generator,1.0
OTHER_ASSET_00000001,other_asset,60201,41824488.54495987,RUB,2024-11-10,2025-04-26,,,,2024-12-31,receivables,True,0.19987306113695055,mock_generator,1.0
OTHER_ASSET_00000002,other_asset,60101,99846.73791762939,RUB,2021-01-12,,,,,2024-12-31,intangible,False,1.0,mock_generator,1.0
OTHER_ASSET_00000003,other_asset,60201,29564.81731834507,RUB,2024-12-22,2025-05-22,,,,2024-12-31,receivables,True,0.1335146805116296,mock_generator,1.0
OTHER_ASSET_00000004,other_asset,60201,2456841.2214793894,RUB,2024-12-09,2025-03-03,,,,2024-12-31,receivables,True,0.19184492514307233,mock_generator,1.0
OTHER_ASSET_00000005,other_asset,60301,6868775.133809227,RUB,2020-02-15,,,,,2024-12-31,fixed_assets,False,0.47140145463351113,mock_generator,1.0
OTHER_ASSET_00000006,other_asset,60101,107288.95428717218,RUB,2021-06-16,,,,,2024-12-31,intangible,False,1.0,mock_generator,1.0
OTHER_ASSET_00000007,other_asset,60101,7814341.207604319,RUB,2022-03-29,,,,,2024-12-31,other,True,0.19604561072006174,mock_generator,1.0
OTHER_ASSET_00000008,other_asset,60301,673320.8785984116,RUB,2022-11-18,,,,,2024-12-31,fixed_assets,False,0.40563200659583687,mock_generator,1.0
OTHER_ASSET_00000009,other_asset,60301,26809610.791044973,RUB,2022-05-12,,,,,2024-12-31,fixed_assets,False,0.4022877537402418,mock_generator,1.0
OTHER_ASSET_00000010,other_asset,60201,168849.7989971093,EUR,2024-12-25,2025-04-29,,,,2024-12-31,receivables,True,0.25822042128619443,mock_generator,1.0
OTHER_ASSET_00000011,other_asset,60201,1330.6202497977656,USD,2024-12-18,2025-04-12,,,,2024-12-31,receivables,True,0.1316322108541381,mock_generator,1.0
OTHER_ASSET_00000012,other_asset,60301,3163998.315839131,RUB,2019-12-09,,,,,2024-12-31,fixed_assets,False,0.5551184363062123,mock_generator,1.0
OTHER_ASSET_00000013,other_asset,60201,16685403.185498675,RUB,2022-05-15,,,,,2024-12-31,fixed_assets,False,0.4820089911750646,mock_generator,1.0
OTHER_ASSET_00000014,other_asset,60101,227138.61759663193,EUR,2024-12-16,2025-07-17,,,,2024-12-31,receivables,True,0.14144241404684485,mock_generator,1.0
OTHER_ASSET_00000015,other_asset,60101,559238.3411997913,RUB,2023-06-29,,,,,2024-12-31,intangible,False,1.0,mock_generator,1.0
OTHER_ASSET_00000016,other_asset,60201,100000.0,RUB,2015-11-08,,,,,2024-12-31,fixed_assets,False,0.6974237182381955,mock_generator,1.0
OTHER_ASSET_00000017,other_asset,60201,5360613.319155845,RUB,2019-04-16,,,,,2024-12-31,other,True,0.21578078889005753,mock_generator,1.0
OTHER_ASSET_00000018,other_asset,60301,100000.0,RUB,2016-08-30,,,,,2024-12-31,fixed_assets,False,0.5453030861829846,mock_generator,1.0
OTHER_ASSET_00000019,other_asset,60201,2420200.1049636607,RUB,2019-02-17,,,,,2024-12-31,intangible,False,1.0,mock_generator,1.0
OTHER_ASSET_00000020,other_asset,60101,192292.67725830097,RUB,2021-06-17,,,,,2024-12-31,intangible,False,1.0,mock_generator,1.0
OTHER_ASSET_00000021,other_asset,60301,112895.69700471572,RUB,2021-06-16,,,,,2024-12-31,other,True,0.13480686150796767,mock_generator,1.0
OTHER_ASSET_00000022,other_asset,60301,2996057.499257713,RUB,2016-09-21,,,,,2024-12-31,fixed_assets,False,0.5581891905924151,mock_generator,1.0
OTHER_ASSET_00000023,other_asset,60101,116706554.51993951,RUB,2016-07-25,,,,,2024-12-31,fixed_assets,False,0.4167824787245852,mock_generator,1.0
OTHER_ASSET_00000024,other_asset,60201,5047066.999284415,RUB,2016-10-05,,,,,2024-12-31,fixed_assets,False,0.6697757840550628,mock_generator,1.0
OTHER_ASSET_00000025,other_asset,60301,4688057.644696685,RUB,2024-12-12,2025-07-31,,,,2024-12-31,receivables,True,0.21027110672262328,mock_generator,1.0
OTHER_ASSET_00000026,other_asset,60101,649361.5504593095,RUB,2018-12-01,,,,,2024-12-31,intangible,False,1.0,mock_generator,1.0
OTHER_ASSET_00000027,other_asset,60101,10673400.544233596,RUB,2019-10-03,,,,,2024-12-31,fixed_assets,False,0.6321606209170586,mock_generator,1.0
OTHER_ASSET_00000028,other_asset,60301,683336.9304179962,RUB,2024-12-15,2025-07-02,,,,2024-12-31,receivables,True,0.22359888554824123,mock_generator,1.0
OTHER_ASSET_00000029,other_asset,60101,841899.3276522872,RUB,2024-09-11,2025-08-20,,,,2024-12-31,receivables,True,0.10836005682002359,mock_generator,1.0
OTHER_ASSET_00000030,other_asset,60301,1232177.1888531998,RUB,2019-12-23,,,,,2024-12-31,fixed_assets,False,0.4757868368739853,mock_generator,1.0
OTHER_ASSET_00000031,other_asset,60201,9321246.333820734,RUB,2020-04-19,,,,,2024-12-31,fixed_assets,False,0.6090085658163026,mock_generator,1.0
OTHER_ASSET_00000032,other_asset,60201,14632129.183683928,RUB,2022-10-18,,,,,2024-12-31,fixed_assets,False,0.4860878974638818,mock_generator,1.0
